週期,縣市,編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
2026-01-27_02-02,新竹縣,22,原美館綠園道精巧美裝1+1房小資女的家,,新竹縣竹北市六家一路一段102-150號,竹北市,1300,54.37,2-2/15,14.7,31.570,有車位/含車位9.870坪
2026-01-27_02-02,新竹縣,23,（專）遠百挑高辦公室,豐采520,新竹縣竹北市勝利二路【豐采520】B26棟15樓,竹北市,1260,60.31,15-15/25,未提供,26.900,有車位/含車位8.000坪
2026-01-27_02-02,新竹縣,24,芎林馥御文昌2+1房兩衛B2,,新竹縣芎林鄉文昌街052-100號,芎林鄉,1158,50.06,2-2/10,2.2,23.130,有車位
2026-01-27_02-02,新竹市,25,專任新鮮貨【竹光公道三近學區翻修過透天】,,新竹市北區竹光路95巷4弄002-050號,北區,1515,60.02,1-3/3,54.2,25.240,無車位
2026-01-27_02-02,新竹縣,26,高鐵區富宇君天下綠景大三房,,新竹縣竹北市東興路一段352-400號,竹北市,3188,66.49,5-5/14,9.8,54.390,有車位/含車位8.700坪
2026-01-27_02-02,新竹市,27,潘朵拉~東區精華小宅~首購族首選,,新竹市東區光復路二段651-699號,東區,475,46.75,9-9/10,19.9,10.160,無車位
2026-01-27_02-02,新竹市,28,虎林國中臨路傳家賺錢店面 l 無土地無保證,,新竹市香山區延平路二段001-049號,香山區,138,17.34,1-1/1,未提供,7.960,無車位
2026-01-27_02-02,新竹縣,29,專任｜竹東美之城長春商圈稀有獨立車庫透天,,新竹縣竹東鎮忠孝街132巷002-050號,竹東鎮,538,19.36,1-3/3,未提供,27.790,無車位
2026-01-27_02-02,新竹縣,30,湖口後站幸福2房+平面車位-景觀視野戶大樓,,新竹縣湖口鄉明德街051-099號,湖口鄉,995,29.65,11-11/14,5.5,33.560,有車位
2026-01-27_02-02,新竹縣,31,新豐鄉稀有透天｜田野清幽車庫採光宅 祥雲山莊,,新竹縣新豐鄉崁頭002-050號,新豐鄉,610,11.26,1-4/4,30.5,54.190,無車位
2026-01-27_02-02,新竹市,32,春福大雋A1-9F 黃金視野三房(雙平車),春福大雋,新竹市北區北大路【春福大雋】,北區,2876,58.63,9-9/27,未提供,67.140,有車位/含車位25.080坪
2026-01-27_02-02,新竹縣,33,專任竹北成功學區太睿觀外棟採光四房雙平車位,,新竹縣竹北市成功十一街102-150號,竹北市,3080,69.1,3-3/14,15.2,71.060,有車位/含車位20.410坪
2026-01-27_02-02,新竹市,34,專任龍山文化大鎮免整理美美2+1房,,新竹市東區埔頂路101-149號,東區,1208,39.4,3-3/7,30.3,30.660,無車位
2026-01-27_02-02,新竹市,35,民富國小2+1房公寓3樓戶,,新竹市北區少年街051-099號,北區,530,23.71,3-3/4,39.8,22.350,無車位
2026-01-27_02-02,新竹市,36,清華附小學區｜邊間三面採光美寓,,新竹市北區四維路21巷001-049號,北區,420,18.53,4-4/5,47,22.670,無車位
2026-01-27_02-02,新竹縣,37,無限綠景【日光富御】全新未入住三房車位,,新竹縣竹北市中正西路002-050號,竹北市,1666,47.62,5-5/12,0.9,43.250,有車位/含車位11.420坪
2026-01-27_02-02,新竹市,38,新竹市區面公園大套房大陽台附平車,,新竹市北區演藝路001-049號,北區,799,35.34,6-6/8,30,22.610,有車位
2026-01-27_02-02,新竹縣,39,環球市|甜甜超值戶|送百萬裝潢+B1平車,,新竹縣竹東鎮光明路126巷87弄001-049號,竹東鎮,1600,39.35,8-8/14,11,45.510,有車位/含車位8.670坪
2026-01-27_02-02,新竹縣,40,竹東麥當勞熱鬧商圈4房有車位透天,,新竹縣竹東鎮忠孝街71巷052-100號,竹東鎮,1000,17.76,1-5/5,30.5,56.310,有車位
2026-01-27_02-02,新竹縣,41,竹東專任【東方新都二】竹東車站前美兩房美屋,,新竹縣竹東鎮北興路二段11巷11號6樓,竹東鎮,480,22.49,6-6/8,30.8,21.340,無車位
2026-01-27_02-02,新竹市,42,逸和緣｜邊間｜屋齡新｜超美大三房,,新竹市香山區中山路602-650號,香山區,1250,36.2,3-3/5,6.7,34.530,無車位
2026-01-27_02-02,新竹市,43,近園區煙波儷舍三房車位綠景社區低總價優質生活,,新竹市東區柴橋路59巷051-099號,東區,916,26.87,8-8/11,30.5,31.640,有車位/含車位1.280坪
2026-01-27_02-02,新竹市,44,<東方明珠>關埔好市多商圈高質感大兩房+兩衛,,新竹市東區慈雲路051-099號,東區,2600,66.63,19-19/27,9.6,46.770,有車位/含車位10.000坪
2026-01-27_02-02,新竹市,45,金雅重劃【悅佳川青】採光二房+平車創意宅,,新竹市北區金雅八街052-100號,北區,1530,55.06,2-2/12,2.1,34.930,有車位/含車位9.870坪
2026-01-27_02-02,新竹縣,46,<富宇明星樂>低總價三房+車位購族首選,,新竹縣新豐鄉明新十街002-050號,新豐鄉,1300,41.94,2-2/9,1.7,36.720,有車位/含車位10.020坪
2026-01-27_02-02,新竹縣,47,近竹北高鐵35坪大地坪邊間超值透天,,新竹縣芎林鄉三民路251-299號,芎林鄉,638,14.9,1-2/2,未提供,42.830,無車位
2026-01-27_02-02,新竹市,48,牛埔透天,,新竹市新竹市和平段,新竹市,1280,0,,未提供,,無車位
2026-01-27_02-02,新竹市,49,宏家凱悅明亮美美三房平車,,新竹市北區延平路三段667巷6號7樓,北區,745,19.45,7-7/7,31.3,38.300,有車位
2026-01-27_02-02,新竹市,50,千甲車站【天綸MIX】輕屋齡典雅三房平車,,新竹市東區溪州路102-150號,東區,1888,43.89,3-3/9,2.6,43.020,有車位
2026-01-27_02-02,新竹縣,51,世界大同次頂樓明亮4改3房平車,,新竹縣竹東鎮世界街71巷001-049號,竹東鎮,715,20.6,7-7/8,28.8,38.330,有車位/含車位8.480坪
2026-02-03_02-09,新竹市,1,全區最便宜~文教新城｜清大商圈正三房,,新竹市東區光復路二段298巷5弄001-049號,東區,1500,35.44,6-6/7,30.7,42.330,無車位
2026-02-03_02-09,新竹市,2,新竹之昇．地標級建築．B5-7｜稀有釋出,新竹之昇,新竹市東區食品路【新竹之昇】B5棟7樓,東區,3168,61.23,7-7/30,未提供,59.470,有車位/含車位9.370坪
2026-02-03_02-09,新竹市,3,【專】湳雅大魯閣優兩房雙陽台二樓美寓鳳凰城首購佳,,新竹市北區湳雅街126巷21弄002-050號,北區,488,26.93,2-2/5,未提供,18.120,無車位
2026-02-03_02-09,新竹縣,4,城市裡擁抱綠蔭·露臺寧靜舒適生活｜高峰會3+1房,,新竹縣竹北市光明十八街002-050號,竹北市,2360,46.34,2-2/14,14,55.480,有車位/含車位7.790坪
2026-02-03_02-09,新竹縣,5,綠樣名園｜鄉村風景觀平車三房《全新翻修近工研院》,,新竹縣竹東鎮員山路402-450號,竹東鎮,1020,25.69,6-6/6,29.9,39.710,有車位
2026-02-03_02-09,新竹縣,6,專任和發善藝2房平車視野戶,,新竹縣竹東鎮至善路002-050號,竹東鎮,1160,40.74,10-10/14,0.5,33.140,有車位/含車位8.350坪
2026-02-03_02-09,新竹縣,7,公園旁重劃區【一方湛】全新電梯透天-東南向雙主臥,,新竹縣竹北市新北二街002-050號,竹北市,3195,44.64,1-4/4,2.5,71.570,有車位
2026-02-03_02-09,新竹市,8,專任｜未來21~我最便宜|景觀大四房+平車,,新竹市香山區牛埔東路001-049號,香山區,1760,38.49,12-12/15,18.2,52.350,有車位/含車位10.530坪
2026-02-03_02-09,新竹縣,9,俠客2精美樓中樓平車,,新竹縣竹北市縣政二路051-099號,竹北市,1010,36.94,4-4/10,18.3,27.340,有車位
2026-02-03_02-09,新竹市,10,德安家康高樓景觀戶~寬敞舒適大三房,,新竹市北區武陵路002-050號,北區,1966,44.21,15-15/26,17.6,51.290,有車位/含車位10.220坪
2026-02-03_02-09,新竹縣,11,王爺壟商圈｜湖心森林｜面湖視野戶大三房,,新竹縣湖口鄉中山路一段601-649號,湖口鄉,1428,29.9,12-12/12,6.2,51.350,有車位/含車位8.620坪
2026-02-03_02-09,新竹市,12,【陽明山莊】面寬17米創意田字別墅｜超大地坪,,新竹市東區明湖路486巷39弄001-049號,東區,1700,35.54,1-2/2,37.3,47.830,有車位
2026-02-03_02-09,新竹市,13,專任 新竹之昇 C棟大3房+平面大車位 高CP值,新竹之昇,新竹市東區食品路【新竹之昇】C2棟7樓,東區,2950,59.18,7-7/30,未提供,57.020,有車位/含車位9.370坪
2026-02-03_02-09,新竹縣,14,(專任)遠百「豐采520」B22棟挑高商辦平車,豐采520,新竹縣竹北市勝利一路【豐采520】B22棟15樓,竹北市,1228,58.62,15-15/25,未提供,26.900,有車位/含車位8.000坪
2026-02-03_02-09,新竹縣,15,高鐵站面水圳公園A級商辦,,新竹縣竹北市復興一街251-299號,竹北市,3950,45.73,7-7/16,17.5,99.950,有車位/含車位20.150坪
2026-02-03_02-09,新竹縣,16,中醫大『大學漾』綠映四房|主建35坪|電動樁車位,,新竹縣竹北市福興一路052-100號,竹北市,2838,46.83,4-4/24,11.7,67.440,有車位/含車位10.050坪
2026-02-03_02-09,新竹市,17,新竹關埔區-昌禾世界島--心動視野近園區採光美宅,,新竹市東區慈濟路202-250號,東區,3600,58.1,7-7/23,11.2,61.960,有車位
2026-02-03_02-09,新竹市,18,湳雅商圈下一站 金雅區 錦雅苑 田園視野三房平車,,新竹市北區金農路152-200號,北區,2088,44.52,3-3/13,5.9,46.900,有車位
2026-02-03_02-09,新竹市,19,專任新竹之昇A棟3+1房面十八尖山,新竹之昇,新竹市東區食品路【新竹之昇】A3棟16樓,東區,3826,67.09,16-16/30,未提供,72.770,有車位/含車位18.730坪
2026-02-03_02-09,新竹縣,20,近AI台元佳泰世紀城前棟兩房平車,,新竹縣竹北市十興路302-350號,竹北市,1680,55.29,11-11/22,7.5,36.430,有車位/含車位8.760坪
2026-02-03_02-09,新竹縣,21,王爺壟沐光｜稀有朝東南雙面採光視野兩房,,新竹縣湖口鄉達生八街052-100號,湖口鄉,1030,33.02,9-9/10,1.4,33.910,有車位/含車位7.260坪
2026-02-03_02-09,新竹市,22,大鵬新城｜明亮三房平車視野戶《永久超棒遼闊美景》,,新竹市北區凌雲街052-100號,北區,1650,31.51,14-14/14,17,52.370,有車位
2026-02-03_02-09,新竹市,23,巨城三民收租美套房,,新竹市東區自由路101-149號,東區,405,38.9,4-4/12,31.4,10.410,無車位
2026-02-03_02-09,新竹縣,24,黃金地段喜來登旁 質感裝潢 視野大套房,,新竹縣竹北市莊敬六街13號13樓之6,竹北市,825,64.15,13-13/15,20.4,12.860,無車位
2026-02-03_02-09,新竹市,25,蒂芬妮時尚精品樓中樓,,新竹市北區中山路201-249號,北區,546,47.77,5-5/10,18.8,11.430,無車位
2026-02-03_02-09,新竹市,26,新竹火車站商業大角店,,新竹市東區民族路001-049號,東區,13000,46.36,1-2/12,25.5,280.390,有車位
2026-02-03_02-09,新竹縣,27,二重明星田字透天,,新竹縣竹東鎮明星路239巷002-050號,竹東鎮,980,28.12,1-2/2,未提供,34.850,無車位
2026-02-03_02-09,新竹縣,28,專任成功學區《太睿觀》邊間大三房+平車,,新竹縣竹北市成功十一街102-150號,竹北市,2800,61.47,9-9/14,15.2,53.310,有車位/含車位10.200坪
2026-02-03_02-09,新竹市,29,竹科新竹之昇A3朝南3+1房雙平車面18尖山,新竹之昇,新竹市東區食品路【新竹之昇】A3棟23樓,東區,3960,67.91,23-23/30,未提供,72.770,有車位/含車位18.730坪
2026-02-03_02-09,新竹縣,30,專任高鐵蛋黃區【原美館】角間三房視野戶,,新竹縣竹北市六家一路一段102-150號,竹北市,2558,51.08,11-11/15,14.7,50.080,有車位
2026-02-03_02-09,新竹縣,31,專任大河戀河岸視野高樓層採光2+1房平面車位,,新竹縣竹北市興隆路一段001-049號,竹北市,1770,49.22,15-15/15,13.5,44.160,有車位/含車位11.250坪
2026-02-03_02-09,新竹縣,32,新鮮貨近星都匯/環宇/星都心【環球市】大棟距四室,,新竹縣竹東鎮光明路126巷87弄002-050號,竹東鎮,1620,36.75,5-5/14,11,48.670,有車位/含車位8.670坪
2026-02-03_02-09,新竹市,33,【大景首席】鐵了心要賣∥外棟+三房平車∥屋主急售,,新竹市北區東大路二段602-650號,北區,2060,48.26,7-7/14,1.8,44.810,有車位/含車位5.860坪
2026-02-03_02-09,新竹市,34,關埔好市多【竹科潤隆】最超值輕奢裝潢兩房大平車,,新竹市東區埔頂三路002-050號,東區,1850,67.67,5-5/29,2.8,33.860,有車位/含車位8.740坪
2026-02-03_02-09,新竹市,35,【專】自由大道三面採光2房平車鄰香山國小,,新竹市香山區中華路四段252-300號,香山區,1456,41.42,3-3/13,10.9,41.810,有車位/含車位10.280坪
2026-02-03_02-09,新竹市,36,稀有!關埔區屋齡9年電梯投套高投報約4.5%附車,,新竹市東區光復路一段531巷1弄001-049號,東區,2990,29.56,1-6/6,10.8,101.150,有車位
2026-02-03_02-09,新竹市,37,專任!國家藝術園區雙車庫獨棟電梯別墅,,新竹市東區瑞麟路001-049號,東區,3440,23.19,-1-3/3,29.6,148.310,無車位
2026-02-03_02-09,新竹縣,38,稀有明星重劃區富宇明星綻優質最高CP值三房平車,富宇明星綻,新竹縣新豐鄉明新十街【富宇明星綻】A8棟4樓,新豐鄉,1295,40.83,4-4/9,未提供,37.030,有車位/含車位8.990坪
2026-02-03_02-09,新竹縣,39,竹北市安興國小【椰林賞】質感視野２+1房附車位,,新竹縣竹北市十興五街052-100號,竹北市,2788,72.31,13-13/14,5.5,46.180,有車位/含車位9.700坪
2026-02-03_02-09,新竹縣,40,竹東全新景觀二房,,新竹縣竹東鎮至善路002-050號,竹東鎮,1150,34.5,8-8/14,0.5,33.330,有車位
2026-02-03_02-09,新竹市,41,南大路透天,,新竹市東區南大路473巷23弄001-049號,東區,1185,38.87,1-2/2,47.7,30.490,無車位
2026-02-03_02-09,新竹市,42,三民國中優質大套房,,新竹市東區自由路95巷18弄002-050號,東區,445,32.18,7-7/7,35.2,13.830,無車位
2026-02-03_02-09,新竹縣,43,中華路大地坪挑高透天店面,,新竹縣竹北市中華路301-349號,竹北市,2250,32.64,-1-2/2,28.6,68.940,無車位
2026-02-03_02-09,新竹市,44,牛埔-首購型-透天-4房-可改室內車庫,,新竹市香山區牛埔北路257巷052-100號,香山區,720,13.87,1-3/3,54.3,51.900,無車位
2026-02-03_02-09,新竹市,45,專任-園區客最愛新竹內湖文學苑3房平車美厦,,新竹市香山區內湖路107巷051-099號,香山區,900,24.24,2-5/5,3.1,37.130,有車位
2026-02-03_02-09,新竹縣,46,自強國中住店,,新竹縣竹東鎮自強路051-099號,竹東鎮,2450,28.38,1-4/4,11.4,86.320,有車位
